,Time,Sensor,Signal,Activity
133,2010-01-18 06:12:55.109001,M004,ON,Personal_Hygiene
134,2010-01-18 06:12:58.031001,M016,OFF,Personal_Hygiene
135,2010-01-18 06:12:59.421001,M004,OFF,Personal_Hygiene
136,2010-01-18 06:13:28.406001,M004,ON,Personal_Hygiene
137,2010-01-18 06:13:32.421001,M004,OFF,Personal_Hygiene
138,2010-01-18 06:13:40.328001,M016,ON,Personal_Hygiene
139,2010-01-18 06:13:41.328001,M004,ON,Personal_Hygiene
140,2010-01-18 06:13:44.203001,M016,OFF,Personal_Hygiene
141,2010-01-18 06:13:45.203001,M004,OFF,Personal_Hygiene
142,2010-01-18 06:13:46.921001,M004,ON,Personal_Hygiene
143,2010-01-18 06:13:48.203001,M016,ON,Personal_Hygiene
144,2010-01-18 06:13:51.234001,M004,OFF,Personal_Hygiene
145,2010-01-18 06:13:52.234001,M016,OFF,Personal_Hygiene
146,2010-01-18 06:13:57.437001,M004,ON,Personal_Hygiene
147,2010-01-18 06:14:01.125001,M004,OFF,Personal_Hygiene
148,2010-01-18 06:14:17.203001,M004,ON,Personal_Hygiene
149,2010-01-18 06:14:20.218001,M016,ON,Personal_Hygiene
150,2010-01-18 06:14:21.203001,M004,OFF,Personal_Hygiene
151,2010-01-18 06:14:24.500001,M016,OFF,Personal_Hygiene
152,2010-01-18 06:14:25.515001,M004,ON,Personal_Hygiene
153,2010-01-18 06:14:26.531001,M016,ON,Personal_Hygiene
154,2010-01-18 06:14:27.828001,M008,ON,Personal_Hygiene
155,2010-01-18 06:14:29.828001,M004,OFF,Personal_Hygiene
156,2010-01-18 06:14:30.437001,M016,OFF,Personal_Hygiene
157,2010-01-18 06:14:32.421001,M008,OFF,Personal_Hygiene
158,2010-01-18 06:14:32.718001,M004,ON,Personal_Hygiene
159,2010-01-18 06:14:34.390001,M008,ON,Personal_Hygiene
160,2010-01-18 06:14:35.718001,M004,OFF,Personal_Hygiene
161,2010-01-18 06:14:38.000001,M008,OFF,Other_Activity
162,2010-01-18 06:14:43.625001,M019,ON,Other_Activity
163,2010-01-18 06:14:45.921001,M020,ON,Other_Activity
164,2010-01-18 06:14:47.906001,M019,OFF,Other_Activity
165,2010-01-18 06:14:49.921001,M020,OFF,Other_Activity
166,2010-01-18 06:15:03.125001,M020,ON,Other_Activity
167,2010-01-18 06:15:07.125001,M020,OFF,Other_Activity
168,2010-01-18 06:15:07.703001,M019,ON,Other_Activity
169,2010-01-18 06:15:09.421001,M020,ON,Other_Activity
170,2010-01-18 06:15:10.000001,M012,ON,Other_Activity
171,2010-01-18 06:15:11.718001,M019,OFF,Other_Activity
172,2010-01-18 06:15:13.343001,M020,OFF,Other_Activity
173,2010-01-18 06:15:14.000001,M019,ON,Other_Activity
174,2010-01-18 06:15:14.296001,M012,OFF,Other_Activity
175,2010-01-18 06:15:18.000001,M019,OFF,Other_Activity
176,2010-01-18 06:15:34.812001,M012,ON,Other_Activity
177,2010-01-18 06:15:39.125001,M012,OFF,Other_Activity
178,2010-01-18 06:15:44.000001,M012,ON,Other_Activity
179,2010-01-18 06:15:45.718001,M020,ON,Other_Activity
180,2010-01-18 06:15:50.296001,M012,OFF,Other_Activity
181,2010-01-18 06:15:51.015001,M012,ON,Other_Activity
182,2010-01-18 06:15:52.625001,M020,OFF,Other_Activity
183,2010-01-18 06:15:54.906001,M012,OFF,Other_Activity
184,2010-01-18 06:15:56.218001,M012,ON,Other_Activity
185,2010-01-18 06:16:00.500001,M012,OFF,Other_Activity
186,2010-01-18 06:16:01.218001,M020,ON,Other_Activity
187,2010-01-18 06:16:02.515001,M012,ON,Other_Activity
188,2010-01-18 06:16:05.109001,M020,OFF,Other_Activity
189,2010-01-18 06:16:06.796001,M012,OFF,Other_Activity
190,2010-01-18 06:16:13.406001,M012,ON,Other_Activity
191,2010-01-18 06:16:13.703001,M020,ON,Other_Activity
192,2010-01-18 06:16:17.421001,M012,OFF,Other_Activity
193,2010-01-18 06:16:17.703001,M020,OFF,Other_Activity
194,2010-01-18 06:16:19.343001,M012,ON,Other_Activity
195,2010-01-18 06:16:23.296001,M012,OFF,Other_Activity
196,2010-01-18 06:16:25.578001,M012,ON,Other_Activity
197,2010-01-18 06:16:29.625001,M012,OFF,Other_Activity
198,2010-01-18 06:16:32.234001,M012,ON,Other_Activity
199,2010-01-18 06:16:36.484001,M012,OFF,Other_Activity
200,2010-01-18 06:16:47.406001,M012,ON,Other_Activity
201,2010-01-18 06:16:51.312001,M012,OFF,Other_Activity
202,2010-01-18 06:16:54.000001,M012,ON,Other_Activity
203,2010-01-18 06:16:58.328001,M012,OFF,Other_Activity
204,2010-01-18 06:17:00.906001,M012,ON,Other_Activity
205,2010-01-18 06:17:05.234001,M012,OFF,Other_Activity
206,2010-01-18 06:17:09.218001,M012,ON,Other_Activity
207,2010-01-18 06:17:13.093001,M012,OFF,Other_Activity
208,2010-01-18 06:17:15.796001,M012,ON,Other_Activity
209,2010-01-18 06:17:19.703001,M012,OFF,Other_Activity
210,2010-01-18 06:17:21.718001,M012,ON,Other_Activity
211,2010-01-18 06:17:25.984001,M012,OFF,Other_Activity
212,2010-01-18 06:17:32.312001,M012,ON,Other_Activity
213,2010-01-18 06:17:36.203001,M012,OFF,Other_Activity
214,2010-01-18 06:17:38.218001,M012,ON,Other_Activity
215,2010-01-18 06:17:42.484001,M012,OFF,Other_Activity
216,2010-01-18 06:17:43.203001,M020,ON,Other_Activity
217,2010-01-18 06:17:44.109001,M012,ON,Other_Activity
218,2010-01-18 06:17:47.109001,M020,OFF,Other_Activity
219,2010-01-18 06:17:48.421001,M012,OFF,Other_Activity
220,2010-01-18 06:17:55.687001,M012,ON,Other_Activity
221,2010-01-18 06:18:00.015001,M012,OFF,Other_Activity
222,2010-01-18 06:18:02.593001,M012,ON,Other_Activity
223,2010-01-18 06:18:06.609001,M012,OFF,Other_Activity
224,2010-01-18 06:18:14.484001,M012,ON,Other_Activity
225,2010-01-18 06:18:18.781001,M012,OFF,Other_Activity
226,2010-01-18 06:18:20.812001,M012,ON,Other_Activity
227,2010-01-18 06:18:24.718001,M012,OFF,Other_Activity
228,2010-01-18 06:18:25.109001,M020,ON,Other_Activity
229,2010-01-18 06:18:29.000001,M020,OFF,Other_Activity
230,2010-01-18 06:18:35.281001,M012,ON,Other_Activity
231,2010-01-18 06:18:36.296001,M020,ON,Other_Activity
232,2010-01-18 06:18:39.312001,M012,OFF,Other_Activity
233,2010-01-18 06:18:39.906001,M020,OFF,Other_Activity
234,2010-01-18 06:18:43.203001,M012,ON,Other_Activity
235,2010-01-18 06:18:47.468001,M012,OFF,Other_Activity
236,2010-01-18 06:18:49.500001,M012,ON,Other_Activity
237,2010-01-18 06:18:53.421001,M012,OFF,Other_Activity
238,2010-01-18 06:19:02.000001,M012,ON,Other_Activity
239,2010-01-18 06:19:03.000001,M020,ON,Other_Activity
240,2010-01-18 06:19:06.000001,M012,OFF,Other_Activity
241,2010-01-18 06:19:07.015001,M020,OFF,Other_Activity
242,2010-01-18 06:19:08.609001,M012,ON,Other_Activity
243,2010-01-18 06:19:12.609001,M012,OFF,Other_Activity
244,2010-01-18 06:19:23.515001,M012,ON,Other_Activity
245,2010-01-18 06:19:27.812001,M012,OFF,Other_Activity
246,2010-01-18 06:19:40.312001,M012,ON,Other_Activity
247,2010-01-18 06:19:44.312001,M012,OFF,Other_Activity
248,2010-01-18 06:19:57.484001,M012,ON,Other_Activity
249,2010-01-18 06:20:01.812001,M012,OFF,Other_Activity
250,2010-01-18 06:20:04.375001,M012,ON,Other_Activity
251,2010-01-18 06:20:08.406001,M012,OFF,Other_Activity
252,2010-01-18 06:20:10.000001,M012,ON,Other_Activity
253,2010-01-18 06:20:14.281001,M012,OFF,Other_Activity
254,2010-01-18 06:20:16.265001,M012,ON,Other_Activity
255,2010-01-18 06:20:20.609001,M012,OFF,Other_Activity
256,2010-01-18 06:20:22.203001,M020,ON,Other_Activity
257,2010-01-18 06:20:22.500001,M019,ON,Other_Activity
258,2010-01-18 06:20:23.203001,M012,ON,Other_Activity
259,2010-01-18 06:20:27.781001,M012,OFF,Other_Activity
260,2010-01-18 06:20:28.796001,M019,OFF,Other_Activity
261,2010-01-18 06:20:30.484001,M020,OFF,Other_Activity
262,2010-01-18 06:20:36.109001,M012,ON,Other_Activity
263,2010-01-18 06:20:37.703001,M020,ON,Other_Activity
264,2010-01-18 06:20:39.000001,M019,ON,Other_Activity
265,2010-01-18 06:20:39.984001,M012,OFF,Other_Activity
266,2010-01-18 06:20:43.000001,M019,OFF,Other_Activity
267,2010-01-18 06:20:43.703001,M012,ON,Other_Activity
268,2010-01-18 06:20:45.296001,M020,OFF,Other_Activity
269,2010-01-18 06:20:46.000001,M012,OFF,Other_Activity
270,2010-01-18 06:20:48.000001,M012,ON,Other_Activity
271,2010-01-18 06:20:51.890001,M012,OFF,Other_Activity
272,2010-01-18 06:20:52.250001,M020,ON,Other_Activity
273,2010-01-18 06:20:55.203001,M012,ON,Other_Activity
274,2010-01-18 06:20:56.218001,M020,OFF,Other_Activity
275,2010-01-18 06:20:59.203001,M012,OFF,Other_Activity
276,2010-01-18 06:20:59.500001,M020,ON,Other_Activity
277,2010-01-18 06:21:03.078001,M012,ON,Other_Activity
278,2010-01-18 06:21:03.781001,M020,OFF,Other_Activity
279,2010-01-18 06:21:06.781001,M020,ON,Other_Activity
280,2010-01-18 06:21:07.390001,M012,OFF,Other_Activity
281,2010-01-18 06:21:14.406001,M020,OFF,Other_Activity
282,2010-01-18 06:21:14.687001,M012,ON,Other_Activity
283,2010-01-18 06:21:14.984001,M012,OFF,Other_Activity
284,2010-01-18 06:21:20.281001,M012,ON,Other_Activity
285,2010-01-18 06:21:24.296001,M012,OFF,Other_Activity
286,2010-01-18 06:21:26.890001,M012,ON,Other_Activity
287,2010-01-18 06:21:31.218001,M012,OFF,Other_Activity
288,2010-01-18 06:21:32.500001,M012,ON,Other_Activity
289,2010-01-18 06:21:33.203001,M020,ON,Other_Activity
290,2010-01-18 06:21:40.093001,M012,OFF,Other_Activity
291,2010-01-18 06:21:40.406001,M012,ON,Other_Activity
292,2010-01-18 06:21:42.093001,M020,OFF,Other_Activity
293,2010-01-18 06:21:42.687001,M012,OFF,Other_Activity
294,2010-01-18 06:21:44.703001,M012,ON,Other_Activity
295,2010-01-18 06:21:52.593001,M020,ON,Other_Activity
296,2010-01-18 06:21:55.578001,M012,OFF,Other_Activity
297,2010-01-18 06:21:55.875001,M012,ON,Other_Activity
298,2010-01-18 06:21:56.296001,M020,OFF,Other_Activity
299,2010-01-18 06:21:57.296001,M019,ON,Other_Activity
300,2010-01-18 06:21:59.593001,M019,OFF,Other_Activity
301,2010-01-18 06:22:01.218001,M019,ON,Other_Activity
302,2010-01-18 06:22:01.531001,M012,OFF,Other_Activity
303,2010-01-18 06:22:02.187001,M020,ON,Other_Activity
304,2010-01-18 06:22:05.203001,M019,OFF,Other_Activity
305,2010-01-18 06:22:06.203001,M020,OFF,Other_Activity
306,2010-01-18 06:22:27.578001,M020,ON,Other_Activity
307,2010-01-18 06:22:31.875001,M020,OFF,Other_Activity
308,2010-01-18 06:22:51.390001,M020,ON,Other_Activity
309,2010-01-18 06:22:55.281001,M020,OFF,Other_Activity
310,2010-01-18 06:23:05.187001,M020,ON,Other_Activity
311,2010-01-18 06:23:06.156001,M019,ON,Other_Activity
312,2010-01-18 06:23:09.500001,M020,OFF,Other_Activity
313,2010-01-18 06:23:10.156001,M019,OFF,Other_Activity
314,2010-01-18 06:23:11.484001,M012,ON,Other_Activity
315,2010-01-18 06:23:13.203001,M020,ON,Other_Activity
316,2010-01-18 06:23:15.500001,M012,OFF,Other_Activity
317,2010-01-18 06:23:17.093001,M020,OFF,Other_Activity
318,2010-01-18 06:23:23.093001,M020,ON,Other_Activity
319,2010-01-18 06:23:27.000001,M020,OFF,Other_Activity
320,2010-01-18 06:23:55.093001,M020,ON,Other_Activity
321,2010-01-18 06:23:57.984001,M019,ON,Other_Activity
322,2010-01-18 06:23:58.953001,M020,OFF,Other_Activity
323,2010-01-18 06:24:02.296001,M019,OFF,Other_Activity
324,2010-01-18 06:24:06.296001,M019,ON,Other_Activity
325,2010-01-18 06:24:10.578001,M019,OFF,Other_Activity
326,2010-01-18 06:24:25.796001,M020,ON,Other_Activity
327,2010-01-18 06:24:29.390001,M019,ON,Other_Activity
328,2010-01-18 06:24:29.656001,M020,OFF,Other_Activity
329,2010-01-18 06:24:33.296001,M019,OFF,Other_Activity
330,2010-01-18 06:24:36.984001,M020,ON,Other_Activity
331,2010-01-18 06:24:41.296001,M020,OFF,Other_Activity
332,2010-01-18 06:24:41.890001,M019,ON,Other_Activity
333,2010-01-18 06:24:46.187001,M019,OFF,Other_Activity
334,2010-01-18 06:24:57.390001,M020,ON,Other_Activity
335,2010-01-18 06:24:57.796001,M019,ON,Other_Activity
336,2010-01-18 06:25:00.375001,M012,ON,Other_Activity
337,2010-01-18 06:25:01.390001,M020,OFF,Other_Activity
338,2010-01-18 06:25:01.687001,M019,OFF,Other_Activity
339,2010-01-18 06:25:04.687001,M012,OFF,Other_Activity
340,2010-01-18 06:25:07.984001,M020,ON,Other_Activity
341,2010-01-18 06:25:11.281001,M012,ON,Other_Activity
342,2010-01-18 06:25:11.593001,M012,OFF,Other_Activity
343,2010-01-18 06:25:11.984001,M020,OFF,Other_Activity
344,2010-01-18 06:25:12.593001,M019,ON,Other_Activity
345,2010-01-18 06:25:12.921001,M019,OFF,Other_Activity
346,2010-01-18 06:25:13.296001,M019,ON,Other_Activity
347,2010-01-18 06:25:15.890001,M019,OFF,Other_Activity
348,2010-01-18 06:25:19.187001,M008,ON,Other_Activity
349,2010-01-18 06:25:23.171001,M008,OFF,Other_Activity
350,2010-01-18 06:25:32.093001,M008,ON,Other_Activity
351,2010-01-18 06:25:35.968001,M008,OFF,Other_Activity
352,2010-01-18 06:25:39.312001,M017,ON,Other_Activity
353,2010-01-18 06:25:43.265001,M017,OFF,Other_Activity
354,2010-01-18 06:25:55.187001,M017,ON,Other_Activity
355,2010-01-18 06:25:59.468001,M017,OFF,Other_Activity
356,2010-01-18 06:26:02.765001,M008,ON,Other_Activity
357,2010-01-18 06:26:06.671001,M008,OFF,Other_Activity
358,2010-01-18 06:26:07.390001,M004,ON,Other_Activity
359,2010-01-18 06:26:09.671001,M008,ON,Other_Activity
360,2010-01-18 06:26:11.390001,M004,OFF,Other_Activity
361,2010-01-18 06:26:11.687001,M016,ON,Other_Activity
362,2010-01-18 06:26:13.687001,M008,OFF,Other_Activity
363,2010-01-18 06:26:13.984001,M004,ON,Other_Activity
364,2010-01-18 06:26:15.609001,M016,OFF,Other_Activity
365,2010-01-18 06:26:17.546001,M004,OFF,Other_Activity
366,2010-01-18 06:26:19.562001,M004,ON,Other_Activity
367,2010-01-18 06:26:24.187001,M004,OFF,Other_Activity
368,2010-01-18 06:26:25.203001,M004,ON,Other_Activity
369,2010-01-18 06:26:29.468001,M004,OFF,Other_Activity
370,2010-01-18 06:26:39.375001,M004,ON,Other_Activity
371,2010-01-18 06:26:43.687001,M004,OFF,Other_Activity
372,2010-01-18 06:26:54.593001,M004,ON,Other_Activity
373,2010-01-18 06:26:58.500001,M004,OFF,Other_Activity
374,2010-01-18 06:27:03.781001,M004,ON,Other_Activity
375,2010-01-18 06:27:07.453001,M016,ON,Other_Activity
376,2010-01-18 06:27:07.781001,M004,OFF,Other_Activity
377,2010-01-18 06:27:09.781001,M004,ON,Other_Activity
378,2010-01-18 06:27:11.343001,M016,OFF,Other_Activity
379,2010-01-18 06:27:14.046001,M004,OFF,Other_Activity
380,2010-01-18 06:27:23.984001,M004,ON,Other_Activity
381,2010-01-18 06:27:27.859001,M004,OFF,Other_Activity
382,2010-01-18 06:27:32.171001,M016,ON,Other_Activity
383,2010-01-18 06:27:32.468001,M004,ON,Other_Activity
384,2010-01-18 06:27:36.187001,M016,OFF,Other_Activity
385,2010-01-18 06:27:36.781001,M004,OFF,Other_Activity
386,2010-01-18 06:27:43.078001,M004,ON,Other_Activity
387,2010-01-18 06:27:47.390001,M004,OFF,Other_Activity
388,2010-01-18 06:28:08.468001,M004,ON,Other_Activity
389,2010-01-18 06:28:08.765001,M016,ON,Other_Activity
390,2010-01-18 06:28:12.484001,M004,OFF,Other_Activity
391,2010-01-18 06:28:12.781001,M016,OFF,Other_Activity
392,2010-01-18 06:28:28.984001,M016,ON,Other_Activity
393,2010-01-18 06:28:32.281001,M004,ON,Other_Activity
394,2010-01-18 06:28:33.281001,M016,OFF,Other_Activity
395,2010-01-18 06:28:36.578001,M004,OFF,Other_Activity
396,2010-01-18 06:28:40.187001,M004,ON,Other_Activity
397,2010-01-18 06:28:44.093001,M004,OFF,Other_Activity
398,2010-01-18 06:28:47.078001,M004,ON,Other_Activity
399,2010-01-18 06:28:51.062001,M004,OFF,Other_Activity
400,2010-01-18 06:28:52.375001,M008,ON,Other_Activity
401,2010-01-18 06:28:52.671001,M004,ON,Other_Activity
402,2010-01-18 06:28:56.375001,M008,OFF,Other_Activity
403,2010-01-18 06:28:56.687001,M004,OFF,Other_Activity
404,2010-01-18 06:28:58.968001,M008,ON,Other_Activity
405,2010-01-18 06:29:02.984001,M008,OFF,Other_Activity
406,2010-01-18 06:29:04.281001,M017,ON,Other_Activity
407,2010-01-18 06:29:08.171001,M017,OFF,Other_Activity
408,2010-01-18 06:29:14.453001,M009,ON,Other_Activity
409,2010-01-18 06:29:15.171001,M017,ON,Other_Activity
410,2010-01-18 06:29:18.484001,M009,OFF,Other_Activity
411,2010-01-18 06:29:19.078001,M017,OFF,Other_Activity
412,2010-01-18 06:29:21.062001,M009,ON,Other_Activity
413,2010-01-18 06:29:25.375001,M009,OFF,Other_Activity
414,2010-01-18 06:29:35.265001,M009,ON,Other_Activity
415,2010-01-18 06:29:39.281001,M009,OFF,Other_Activity
416,2010-01-18 06:29:54.359001,M009,ON,Other_Activity
417,2010-01-18 06:29:58.375001,M009,OFF,Other_Activity
418,2010-01-18 06:30:28.078001,M009,ON,Other_Activity
419,2010-01-18 06:30:32.078001,M009,OFF,Other_Activity
420,2010-01-18 06:30:34.375001,M009,ON,Other_Activity
421,2010-01-18 06:30:38.250001,M009,OFF,Other_Activity
422,2010-01-18 06:30:48.578001,M017,ON,Other_Activity
