Time,Sensor,Signal,Activity
2009-12-16 02:54:08.218001,M004,OFF,Bed_Toilet_Transition
2009-12-16 02:54:10.515001,M016,OFF,Bed_Toilet_Transition
2009-12-16 02:54:32.296001,M004,ON,Bed_Toilet_Transition
2009-12-16 02:54:36.546001,M004,OFF,Bed_Toilet_Transition
2009-12-16 02:55:21.796001,M004,ON,Bed_Toilet_Transition
2009-12-16 02:55:24.062001,M016,ON,Bed_Toilet_Transition
2009-12-16 02:55:25.718001,M004,OFF,Bed_Toilet_Transition
2009-12-16 02:55:28.078001,M016,OFF,Bed_Toilet_Transition
2009-12-16 02:55:37.312001,M004,ON,Bed_Toilet_Transition
2009-12-16 02:55:41.281001,M004,OFF,Bed_Toilet_Transition
2009-12-16 02:56:10.312001,M004,ON,Bed_Toilet_Transition
2009-12-16 02:56:14.218001,M004,OFF,Bed_Toilet_Transition
2009-12-16 02:56:17.203001,M004,ON,Bed_Toilet_Transition
2009-12-16 02:56:21.515001,M004,OFF,Bed_Toilet_Transition
2009-12-16 02:56:25.453001,M004,ON,Bed_Toilet_Transition
2009-12-16 02:56:29.421001,M004,OFF,Bed_Toilet_Transition
2009-12-16 02:56:40.640001,M004,ON,Bed_Toilet_Transition
2009-12-16 02:56:44.921001,M004,OFF,Bed_Toilet_Transition
2009-12-16 02:56:49.218001,M004,ON,Bed_Toilet_Transition
2009-12-16 02:56:53.500001,M004,OFF,Bed_Toilet_Transition
2009-12-16 02:57:00.140001,M004,ON,Bed_Toilet_Transition
2009-12-16 02:57:04.078001,M004,OFF,Bed_Toilet_Transition
2009-12-16 02:57:09.656001,M004,ON,Bed_Toilet_Transition
2009-12-16 02:57:13.671001,M004,OFF,Bed_Toilet_Transition
2009-12-16 02:57:16.609001,M008,ON,Other_Activity
2009-12-16 02:57:16.937001,M016,ON,Other_Activity
2009-12-16 02:57:17.609001,M015,ON,Other_Activity
2009-12-16 02:57:19.609001,M019,ON,Other_Activity
2009-12-16 02:57:20.937001,M008,OFF,Other_Activity
2009-12-16 02:57:21.203001,M016,OFF,Other_Activity
2009-12-16 02:57:21.562001,M015,OFF,Other_Activity
2009-12-16 02:57:21.875001,M020,ON,Other_Activity
2009-12-16 02:57:23.515001,M019,OFF,Other_Activity
2009-12-16 02:57:26.500001,M020,OFF,Other_Activity
2009-12-16 02:57:27.500001,M012,ON,Sleeping_in_Bed
2009-12-16 02:57:30.453001,M012,OFF,Sleeping_in_Bed
2009-12-16 02:57:33.437001,M012,ON,Sleeping_in_Bed
2009-12-16 02:57:37.718001,M012,OFF,Sleeping_in_Bed
2009-12-16 02:57:40.375001,M020,ON,Sleeping_in_Bed
2009-12-16 02:57:44.656001,M020,OFF,Sleeping_in_Bed
2009-12-16 02:57:54.875001,M020,ON,Sleeping_in_Bed
2009-12-16 02:57:55.234001,M019,ON,Sleeping_in_Bed
2009-12-16 02:57:59.500001,M019,OFF,Sleeping_in_Bed
2009-12-16 02:57:59.843001,M020,OFF,Sleeping_in_Bed
2009-12-16 02:58:02.453001,M020,ON,Sleeping_in_Bed
2009-12-16 02:58:02.796001,M019,ON,Sleeping_in_Bed
2009-12-16 02:58:08.406001,M020,OFF,Sleeping_in_Bed
2009-12-16 02:58:08.734001,M019,OFF,Sleeping_in_Bed
2009-12-16 02:58:43.078001,M012,ON,Sleeping_in_Bed
2009-12-16 02:58:47.015001,M012,OFF,Sleeping_in_Bed
2009-12-16 02:58:49.312001,M012,ON,Sleeping_in_Bed
2009-12-16 02:58:53.296001,M012,OFF,Sleeping_in_Bed
2009-12-16 02:59:05.156001,M012,ON,Sleeping_in_Bed
2009-12-16 02:59:09.468001,M012,OFF,Sleeping_in_Bed
2009-12-16 02:59:21.031001,M012,ON,Sleeping_in_Bed
2009-12-16 02:59:25.000001,M012,OFF,Sleeping_in_Bed
2009-12-16 02:59:31.906001,M012,ON,Sleeping_in_Bed
2009-12-16 02:59:36.234001,M012,OFF,Sleeping_in_Bed
2009-12-16 03:14:06.687001,M012,ON,Sleeping_in_Bed
2009-12-16 03:14:10.656001,M012,OFF,Sleeping_in_Bed
2009-12-16 03:18:19.140001,M012,ON,Sleeping_in_Bed
2009-12-16 03:18:23.109001,M012,OFF,Sleeping_in_Bed
2009-12-16 03:20:11.640001,M012,ON,Sleeping_in_Bed
2009-12-16 03:20:15.625001,M012,OFF,Sleeping_in_Bed
2009-12-16 03:20:25.203001,M012,ON,Sleeping_in_Bed
2009-12-16 03:20:29.140001,M012,OFF,Sleeping_in_Bed
2009-12-16 03:20:45.000001,M012,ON,Sleeping_in_Bed
2009-12-16 03:20:48.937001,M012,OFF,Sleeping_in_Bed
2009-12-16 03:23:16.765001,M012,ON,Sleeping_in_Bed
2009-12-16 03:23:21.031001,M012,OFF,Sleeping_in_Bed
2009-12-16 06:06:49.750001,D021,CLOSE,Sleeping_in_Bed
2009-12-16 06:31:23.796001,M012,ON,Sleeping_in_Bed
2009-12-16 06:31:27.765001,M012,OFF,Sleeping_in_Bed
2009-12-16 06:32:18.593001,M012,ON,Sleeping_in_Bed
2009-12-16 06:32:22.500001,M012,OFF,Sleeping_in_Bed
2009-12-16 06:46:10.453001,M012,ON,Sleeping_in_Bed
2009-12-16 06:46:14.390001,M012,OFF,Sleeping_in_Bed
2009-12-16 08:06:42.046001,D021,CLOSE,Sleeping_in_Bed
2009-12-16 09:37:44.875001,M012,ON,Sleeping_in_Bed
2009-12-16 09:37:49.171001,M012,OFF,Sleeping_in_Bed
2009-12-16 09:37:53.140001,M012,ON,Sleeping_in_Bed
2009-12-16 09:37:57.078001,M012,OFF,Sleeping_in_Bed
2009-12-16 09:38:14.906001,M020,ON,Other_Activity
2009-12-16 09:38:18.859001,M020,OFF,Other_Activity
2009-12-16 09:38:37.671001,M020,ON,Other_Activity
2009-12-16 09:38:39.671001,M019,ON,Other_Activity
2009-12-16 09:38:41.671001,M020,OFF,Other_Activity
2009-12-16 09:38:43.640001,M008,ON,Other_Activity
2009-12-16 09:38:43.937001,M019,OFF,Other_Activity
2009-12-16 09:38:44.609001,M015,ON,Other_Activity
2009-12-16 09:38:45.578001,M017,ON,Other_Activity
2009-12-16 09:38:45.953001,M016,ON,Other_Activity
2009-12-16 09:38:47.890001,M008,OFF,Other_Activity
2009-12-16 09:38:48.562001,M015,OFF,Other_Activity
2009-12-16 09:38:49.593001,M017,OFF,Other_Activity
2009-12-16 09:38:50.203001,M016,OFF,Other_Activity
2009-12-16 09:38:53.875001,M004,ON,Bed_Toilet_Transition
2009-12-16 09:38:58.171001,M004,OFF,Bed_Toilet_Transition
2009-12-16 09:52:31.250001,M004,ON,Bed_Toilet_Transition
2009-12-16 09:52:35.828001,M004,OFF,Bed_Toilet_Transition
2009-12-16 09:52:47.390001,M004,ON,Bed_Toilet_Transition
2009-12-16 09:52:51.328001,M004,OFF,Bed_Toilet_Transition
2009-12-16 09:53:03.531001,M004,ON,Bed_Toilet_Transition
2009-12-16 09:53:04.875001,M016,ON,Bed_Toilet_Transition
2009-12-16 09:53:06.828001,M008,ON,Bed_Toilet_Transition
2009-12-16 09:53:07.828001,M004,OFF,Bed_Toilet_Transition
2009-12-16 09:53:09.156001,M016,OFF,Bed_Toilet_Transition
2009-12-16 09:53:11.125001,M008,OFF,Bed_Toilet_Transition
2009-12-16 09:53:12.453001,M004,ON,Bed_Toilet_Transition
2009-12-16 09:53:16.781001,M004,OFF,Bed_Toilet_Transition
2009-12-16 09:53:27.625001,M004,ON,Bed_Toilet_Transition
2009-12-16 09:53:28.625001,M008,ON,Bed_Toilet_Transition
2009-12-16 09:53:30.296001,M016,ON,Bed_Toilet_Transition
2009-12-16 09:53:31.609001,M004,OFF,Bed_Toilet_Transition
2009-12-16 09:53:32.625001,M008,OFF,Other_Activity
2009-12-16 09:53:34.218001,M016,OFF,Other_Activity
2009-12-16 09:53:34.546001,M019,ON,Other_Activity
2009-12-16 09:53:36.906001,M020,ON,Other_Activity
2009-12-16 09:53:38.218001,M019,OFF,Other_Activity
2009-12-16 09:53:41.156001,M020,OFF,Other_Activity
2009-12-16 09:54:00.953001,M012,ON,Sleeping_in_Bed
2009-12-16 09:54:04.921001,M012,OFF,Sleeping_in_Bed
2009-12-16 09:54:06.562001,M012,ON,Sleeping_in_Bed
2009-12-16 09:54:09.578001,M020,ON,Sleeping_in_Bed
2009-12-16 09:54:10.843001,M012,OFF,Sleeping_in_Bed
2009-12-16 09:54:12.828001,M012,ON,Sleeping_in_Bed
2009-12-16 09:54:13.812001,M020,OFF,Sleeping_in_Bed
2009-12-16 09:54:17.125001,M012,OFF,Sleeping_in_Bed
2009-12-16 09:54:23.750001,M012,ON,Sleeping_in_Bed
2009-12-16 09:54:27.718001,M012,OFF,Sleeping_in_Bed
2009-12-16 10:23:47.812001,M012,ON,Sleeping_in_Bed
2009-12-16 10:23:52.125001,M012,OFF,Sleeping_in_Bed
2009-12-16 10:24:05.343001,M012,ON,Sleeping_in_Bed
2009-12-16 10:24:09.250001,M012,OFF,Sleeping_in_Bed
2009-12-16 10:24:39.625001,M012,ON,Sleeping_in_Bed
2009-12-16 10:24:43.562001,M012,OFF,Sleeping_in_Bed
2009-12-16 10:25:17.921001,M012,ON,Sleeping_in_Bed
2009-12-16 10:25:22.218001,M012,OFF,Sleeping_in_Bed
2009-12-16 10:26:20.921001,M020,ON,Other_Activity
2009-12-16 10:26:21.953001,M019,ON,Other_Activity
2009-12-16 10:26:24.906001,M020,OFF,Other_Activity
2009-12-16 10:26:25.906001,M019,OFF,Other_Activity
2009-12-16 10:26:28.843001,M019,ON,Other_Activity
2009-12-16 10:26:33.171001,M019,OFF,Other_Activity
2009-12-16 10:26:33.812001,M008,ON,Other_Activity
2009-12-16 10:26:34.812001,M015,ON,Other_Activity
2009-12-16 10:26:35.781001,M004,ON,Personal_Hygiene
2009-12-16 10:26:36.437001,M016,ON,Personal_Hygiene
2009-12-16 10:26:37.734001,M008,OFF,Personal_Hygiene
2009-12-16 10:26:38.750001,M015,OFF,Personal_Hygiene
2009-12-16 10:26:40.078001,M004,OFF,Personal_Hygiene
2009-12-16 10:26:40.437001,M016,OFF,Personal_Hygiene
2009-12-16 10:26:43.015001,M004,ON,Personal_Hygiene
2009-12-16 10:26:47.015001,M004,OFF,Personal_Hygiene
2009-12-16 10:26:51.671001,M004,ON,Personal_Hygiene
2009-12-16 10:26:55.609001,M004,OFF,Personal_Hygiene
2009-12-16 10:26:55.906001,M016,ON,Personal_Hygiene
2009-12-16 10:26:58.234001,M004,ON,Personal_Hygiene
2009-12-16 10:26:59.875001,M016,OFF,Personal_Hygiene
2009-12-16 10:27:02.203001,M004,OFF,Personal_Hygiene
2009-12-16 10:27:05.796001,M004,ON,Personal_Hygiene
2009-12-16 10:27:09.750001,M004,OFF,Personal_Hygiene
2009-12-16 10:27:11.406001,M004,ON,Personal_Hygiene
2009-12-16 10:27:15.406001,M004,OFF,Personal_Hygiene
2009-12-16 10:27:20.640001,M004,ON,Personal_Hygiene
2009-12-16 10:27:22.671001,M016,ON,Personal_Hygiene
2009-12-16 10:27:24.671001,M004,OFF,Personal_Hygiene
2009-12-16 10:27:26.671001,M016,OFF,Personal_Hygiene
2009-12-16 10:27:26.906001,M004,ON,Personal_Hygiene
2009-12-16 10:27:31.234001,M004,OFF,Personal_Hygiene
2009-12-16 10:27:34.203001,M004,ON,Personal_Hygiene
2009-12-16 10:27:38.140001,M004,OFF,Personal_Hygiene
2009-12-16 10:27:40.109001,M004,ON,Personal_Hygiene
2009-12-16 10:27:44.406001,M004,OFF,Personal_Hygiene
2009-12-16 10:27:46.718001,M004,ON,Personal_Hygiene
2009-12-16 10:27:51.015001,M004,OFF,Personal_Hygiene
2009-12-16 10:27:59.906001,M004,ON,Personal_Hygiene
2009-12-16 10:28:04.203001,M004,OFF,Personal_Hygiene
2009-12-16 10:28:10.812001,M004,ON,Personal_Hygiene
2009-12-16 10:28:14.796001,M004,OFF,Personal_Hygiene
2009-12-16 10:28:18.765001,M004,ON,Personal_Hygiene
2009-12-16 10:28:22.734001,M004,OFF,Personal_Hygiene
2009-12-16 10:28:23.656001,M008,ON,Personal_Hygiene
2009-12-16 10:28:24.703001,M004,ON,Personal_Hygiene
2009-12-16 10:28:25.312001,M016,ON,Personal_Hygiene
2009-12-16 10:28:26.312001,M015,ON,Personal_Hygiene
2009-12-16 10:28:28.000001,M008,OFF,Personal_Hygiene
2009-12-16 10:28:28.609001,M004,OFF,Personal_Hygiene
2009-12-16 10:28:28.937001,M008,ON,Other_Activity
2009-12-16 10:28:29.609001,M016,OFF,Other_Activity
2009-12-16 10:28:30.609001,M015,OFF,Other_Activity
2009-12-16 10:28:30.937001,M019,ON,Other_Activity
2009-12-16 10:28:33.234001,M008,OFF,Other_Activity
2009-12-16 10:28:34.546001,M019,OFF,Other_Activity
2009-12-16 10:29:10.203001,M019,ON,Other_Activity
2009-12-16 10:29:10.531001,M012,ON,Other_Activity
2009-12-16 10:29:11.843001,M020,ON,Other_Activity
2009-12-16 10:29:14.187001,M019,OFF,Other_Activity
2009-12-16 10:29:14.828001,M012,OFF,Other_Activity
2009-12-16 10:29:15.796001,M020,OFF,Other_Activity
2009-12-16 10:30:33.359001,M019,ON,Other_Activity
2009-12-16 10:30:35.343001,M020,ON,Other_Activity
2009-12-16 10:30:36.656001,M012,ON,Other_Activity
2009-12-16 10:30:37.640001,M019,OFF,Other_Activity
2009-12-16 10:30:39.000001,M019,ON,Other_Activity
2009-12-16 10:30:39.625001,M020,OFF,Other_Activity
2009-12-16 10:30:40.937001,M012,OFF,Other_Activity
2009-12-16 10:30:42.625001,M020,ON,Other_Activity
2009-12-16 10:30:42.921001,M019,OFF,Other_Activity
2009-12-16 10:30:46.562001,M020,OFF,Other_Activity
2009-12-16 10:32:19.984001,M019,ON,Other_Activity
2009-12-16 10:32:23.890001,M019,OFF,Other_Activity
2009-12-16 10:36:58.125001,M020,ON,Other_Activity
2009-12-16 10:36:59.421001,M019,ON,Other_Activity
2009-12-16 10:37:02.765001,M020,OFF,Other_Activity
2009-12-16 10:37:03.718001,M008,ON,Other_Activity
2009-12-16 10:37:04.078001,M019,OFF,Other_Activity
2009-12-16 10:37:07.687001,M015,ON,Other_Activity
2009-12-16 10:37:08.015001,M008,OFF,Other_Activity
2009-12-16 10:37:09.015001,M006,ON,Other_Activity
2009-12-16 10:37:10.312001,D031,OPEN,Other_Activity
2009-12-16 10:37:11.671001,M015,OFF,Other_Activity
2009-12-16 10:37:12.968001,M006,OFF,Other_Activity
2009-12-16 10:37:14.968001,M006,ON,Other_Activity
2009-12-16 10:37:16.609001,D031,CLOSE,Other_Activity
2009-12-16 10:37:18.937001,M006,OFF,Other_Activity
2009-12-16 10:37:20.578001,M006,ON,Other_Activity
2009-12-16 10:37:24.515001,M006,OFF,Other_Activity
2009-12-16 10:37:26.812001,M006,ON,Other_Activity
2009-12-16 10:37:30.781001,M006,OFF,Other_Activity
2009-12-16 10:38:01.812001,M015,ON,Other_Activity
2009-12-16 10:38:05.765001,M015,OFF,Other_Activity
2009-12-16 10:38:06.078001,M017,ON,Other_Activity
2009-12-16 10:38:07.406001,M018,ON,Other_Activity
2009-12-16 10:38:09.765001,M017,OFF,Other_Activity
2009-12-16 10:38:11.375001,M018,OFF,Other_Activity
2009-12-16 10:38:20.609001,M018,ON,Other_Activity
2009-12-16 10:38:22.265001,M017,ON,Other_Activity
2009-12-16 10:38:24.906001,M018,OFF,Other_Activity
2009-12-16 10:38:26.265001,M015,ON,Other_Activity
2009-12-16 10:38:26.562001,M017,OFF,Other_Activity
2009-12-16 10:38:28.875001,M003,ON,Meal_Preparation
2009-12-16 10:38:30.515001,M015,OFF,Meal_Preparation
2009-12-16 10:38:32.812001,M003,OFF,Meal_Preparation
2009-12-16 10:38:35.156001,M003,ON,Meal_Preparation
2009-12-16 10:38:39.406001,M003,OFF,Meal_Preparation
2009-12-16 10:38:46.015001,M003,ON,Meal_Preparation
2009-12-16 10:38:49.968001,M003,OFF,Meal_Preparation
2009-12-16 10:38:57.906001,M003,ON,Meal_Preparation
2009-12-16 10:39:01.875001,M003,OFF,Meal_Preparation
2009-12-16 10:39:04.812001,M003,ON,Meal_Preparation
2009-12-16 10:39:08.796001,M003,OFF,Meal_Preparation
2009-12-16 10:39:12.406001,M003,ON,Meal_Preparation
2009-12-16 10:39:14.750001,M015,ON,Meal_Preparation
2009-12-16 10:39:16.375001,M003,OFF,Meal_Preparation
